Address,RBN Balance,Time Left (in seconds),Penalty Ratio,Penalty Rebate,Unlock Reward Before,Penalty Reward After
0x974dD3B4e5E00BC3117Fbba15E521B6B5aFC151C,175972 RBN,57304800,0.75,65989.84 RBN,43993.00 RBN,43993.00 RBN
0x17D60e33385700247741d8A0C2db0D4Ac28130d7,18363 RBN,31903200,0.51,4644.40 RBN,9074.00 RBN,9074.00 RBN
0xAB12253171A0d73df64B115cD43Fe0A32Feb9dAA,1147 RBN,453600,0.01,4.13 RBN,1139.00 RBN,1139.00 RBN
0xDBeF9b0a75732966C61B014E8471d5dD7C215E0F,1102 RBN,453600,0.01,3.97 RBN,1094.00 RBN,1094.00 RBN
0x15977e15d7b24C76f94D2902970e0F0EEDd78618,19375 RBN,31903200,0.51,4900.24 RBN,9574.00 RBN,9574.00 RBN
0x32ae635F5136AdB181A442Cc890be39263bC13c8,8208 RBN,31903200,0.51,2076.03 RBN,4056.00 RBN,4056.00 RBN
0x9b616Ac1D31F17Be9B23560d93699cA7732e2808,5000 RBN,43999200,0.70,1744.01 RBN,1511.00 RBN,1511.00 RBN
0x8a886aA7d37fDE5b7B3F2a4f615D18e46696cAE8,30000 RBN,31903200,0.51,7587.53 RBN,14825.00 RBN,14825.00 RBN
0x0fF67d2714b0FBbbEc4A87Bfe3b823c9fb3F887c,10350 RBN,31903200,0.51,2617.74 RBN,5114.00 RBN,5114.00 RBN
0xC1C79C6378e5A72895C8eA15fc6Dd59fFddc8dee,1027 RBN,31903200,0.51,259.95 RBN,507.00 RBN,507.00 RBN
0xDDb01664dabEf7e491839a7Abc62f06495AD91e7,3741 RBN,453600,0.01,13.45 RBN,3714.00 RBN,3714.00 RBN
0x7890bF0C1aD4B82642E788cadFf158EC96775f7a,3279 RBN,453600,0.01,11.79 RBN,3256.00 RBN,3256.00 RBN
0xb3a7FBC2fa38C18ad4433aE93FE7F215Fd2D057f,1398 RBN,54280800,0.75,524.49 RBN,349.00 RBN,349.00 RBN
0x627D31713ed554f84C5d27658D36Bb4b455daB03,7894 RBN,31903200,0.51,1996.52 RBN,3901.00 RBN,3901.00 RBN
0x8d452c1f4bAE385B13933c83EcFf70D74229915F,1397 RBN,31903200,0.51,353.48 RBN,690.00 RBN,690.00 RBN
0x65877BE34c0c3C3A317d97028FD91bd261410026,19303 RBN,55490400,0.75,7238.69 RBN,4825.00 RBN,4825.00 RBN
0x1Dd01835E0Eb26ABe597e2e69FfAC1A6cd00283A,46738 RBN,31903200,0.51,11820.59 RBN,23096.00 RBN,23096.00 RBN
0x34F2a7f1654517fd7B52a7BE7F73F938B60e8e1A,322 RBN,453600,0.01,1.16 RBN,319.00 RBN,319.00 RBN
0x7D79ab8C86eEf9c6d3001822CCa2384d314db999,570 RBN,453600,0.01,2.05 RBN,565.00 RBN,565.00 RBN
0x575957E047d5264512aF6aE591817faD51e5e9B2,7884 RBN,44604000,0.71,2788.07 RBN,2308.00 RBN,2308.00 RBN
0x2Ee8670d2b936985D5fb1EE968810c155D3bB9cA,8126 RBN,31903200,0.51,2055.33 RBN,4016.00 RBN,4016.00 RBN
0xA4fEa54f4dD3D8aaB135CF93bCA9219f9275066f,482 RBN,453600,0.01,1.73 RBN,478.00 RBN,478.00 RBN
0xfd58bC678286A43cb678FFE81E85C5467A84B061,38904 RBN,453600,0.01,139.90 RBN,38625.00 RBN,38625.00 RBN
0x32Ab67c75c722C7c5062589D208FDC12eF246930,870 RBN,453600,0.01,3.13 RBN,864.00 RBN,864.00 RBN
0xf49d2bcC52F0b46a98204721f98Ce9d4e6730BEd,99999 RBN,33717600,0.53,26729.45 RBN,46541.00 RBN,46541.00 RBN
0x57D98609D623B9885721a58B896d40C7871E1573,16332 RBN,58514400,0.75,6124.63 RBN,4083.00 RBN,4083.00 RBN
0x1B95b8a82966615a084397932BCBF514E2BE6f20,5130 RBN,58514400,0.75,1923.76 RBN,1282.00 RBN,1282.00 RBN
0x81AcBa11a66E9EdEABaA2Ff28101153724892eB7,5486 RBN,59119200,0.75,2057.27 RBN,1371.00 RBN,1371.00 RBN
0x4164825Bf954E6C6401daB8d01741885f1ca28d8,3233 RBN,453600,0.01,11.63 RBN,3210.00 RBN,3210.00 RBN
0x309c65c98c56C4Db478Ec67D3d0c91738CbAFC36,4568 RBN,1058400,0.02,38.34 RBN,4492.00 RBN,4492.00 RBN
0xc47c4c896Afe31e0c37ecDb54df7836313b6504c,514 RBN,453600,0.01,1.85 RBN,510.00 RBN,510.00 RBN
0x6B98259456fa6ca17dF0fe5a8CfA829c30484EEe,71624 RBN,47628000,0.75,26859.35 RBN,17906.00 RBN,17906.00 RBN
0x99ED04C212dD3929E9063bd78B26Ef41858CB62C,19470 RBN,8316000,0.13,1283.55 RBN,16902.00 RBN,16902.00 RBN
0x68Dc0f7ba4eFc952B23e6caCfdf11dE87b54a909,10000 RBN,31903200,0.51,2529.15 RBN,4941.00 RBN,4941.00 RBN
0xf6a020960A15d942056F7F920064757A47937F1E,10 RBN,2872800,0.05,0.23 RBN,9.00 RBN,9.00 RBN
0x0CFdFB55841bF953097d8F41b9bfd985A6BFadD9,7819 RBN,54885600,0.75,2932.18 RBN,1954.00 RBN,1954.00 RBN
0x2c4Be4A8e562D636889Edc52F18019e2C2ff39e7,44491 RBN,453600,0.01,159.99 RBN,44171.00 RBN,44171.00 RBN
0x706568707620a44A2463ace5edac48fdc864e9C5,1799 RBN,31903200,0.51,455.04 RBN,889.00 RBN,889.00 RBN
