Address,RBN Balance,Time Left (in seconds),Penalty Ratio,Penalty Rebate,Unlock Reward Before,Penalty Reward After
0x42d02f4cd48BDAC116b7E3A4895f586777948FaE,18000 RBN,32508000,0.52,4638.70 RBN,8722.00 RBN,8722.00 RBN
0x7527557858B4b40F9199A49aB3746179F36BD9d8,576131 RBN,58514400,0.75,216049.22 RBN,144032.00 RBN,144032.00 RBN
0xC233Ba744629b4004cF3d573f67A45F49cfE3C08,3144 RBN,32508000,0.52,810.48 RBN,1524.00 RBN,1524.00 RBN
0xf0E12c7218cB38DF7A3A231Bb91EE82F732625b6,4811 RBN,32508000,0.52,1239.94 RBN,2331.00 RBN,2331.00 RBN
0x4F532e0ae9954A85E5396F3E8d1876556317bFBA,24730 RBN,57909600,0.75,9273.90 RBN,6182.00 RBN,6182.00 RBN
0xC4b3A3c22012C3e672B781A106DFc260B78e253c,17629 RBN,32508000,0.52,4543.28 RBN,8543.00 RBN,8543.00 RBN
0x3f8Ae5412552128A1B3ce268fD270670859eDbEB,65 RBN,1058400,0.02,0.55 RBN,64.00 RBN,64.00 RBN
0x8920A5404Bc7F13A90e26d1d8Ef083E2B8BFa739,1009 RBN,13154400,0.21,105.25 RBN,798.00 RBN,798.00 RBN
0xD110421A743A19A6Dee233c32417c089B2684f1c,8 RBN,58514400,0.75,3.12 RBN,2.00 RBN,2.00 RBN
0x918558df5A12Ba43657222bbcf1a735494a5024f,36696 RBN,32508000,0.52,9456.80 RBN,17782.00 RBN,17782.00 RBN
0x32a59b87352e980dD6aB1bAF462696D28e63525D,6598 RBN,45208800,0.72,2364.76 RBN,1868.00 RBN,1868.00 RBN
0xaaFdd768fA83EF7af0e19707F2BE9d1DB1924766,7320 RBN,32508000,0.52,1886.54 RBN,3547.00 RBN,3547.00 RBN
0x7420cc223E132bB04ADc64Db001314Ab15439cb2,5302 RBN,48837600,0.75,1988.44 RBN,1325.00 RBN,1325.00 RBN
0xBEeB0A18fbc441db480bb9B7f522bB57D6ABC557,36987 RBN,32508000,0.52,9531.97 RBN,17923.00 RBN,17923.00 RBN
0x22322380bA90C486320CeC43620d9Dc540004586,19672 RBN,2872800,0.05,448.02 RBN,18776.00 RBN,18776.00 RBN
0x4d7e1eFBca2D8F54937D86Afe82700594B047432,71 RBN,1058400,0.02,0.60 RBN,70.00 RBN,70.00 RBN
0x113608c71593dE502ddD9253ef4F170110056829,1988 RBN,32508000,0.52,512.54 RBN,963.00 RBN,963.00 RBN
0x14D903053D4FB483084385B1d2ecE8a98Cd8a9E4,1906 RBN,55490400,0.75,715.09 RBN,476.00 RBN,476.00 RBN
0xA0766fD5ecd0f472dE2A77f9048653724FE2780F,36529 RBN,32508000,0.52,9413.72 RBN,17701.00 RBN,17701.00 RBN
0x45eBC736090424b36106c4A29714B10bB19A5C72,2805 RBN,1058400,0.02,23.54 RBN,2758.00 RBN,2758.00 RBN
0x628D896988f2C56921F09dF2AED3549CaC359774,20000 RBN,32508000,0.52,5154.11 RBN,9691.00 RBN,9691.00 RBN
0x8742abb8d67c816B577c8BdE64D7086Ac2A8bB8B,1609 RBN,1058400,0.02,13.50 RBN,1582.00 RBN,1582.00 RBN
0x1c2B95f72562CA72E4306C54DA7cA9dC1F7a0d4B,450 RBN,32508000,0.52,116.22 RBN,218.00 RBN,218.00 RBN
0x3363c43b0685eae668237e0Fc6F5248b83ad6Adb,90645 RBN,60933600,0.75,33992.14 RBN,22661.00 RBN,22661.00 RBN
0xF116569b3f888D639372a5485685A6D8EE28A593,2211 RBN,32508000,0.52,569.94 RBN,1071.00 RBN,1071.00 RBN
0xa527ec807541553Bfa5c99c1097BDa0293c7aa5e,71221 RBN,32508000,0.52,18354.19 RBN,34513.00 RBN,34513.00 RBN
0xC40cB966a08638d71ed4537bc2f5267558061137,14603 RBN,37346400,0.59,4323.39 RBN,5956.00 RBN,5956.00 RBN
0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,54465 RBN,32508000,0.52,14036.02 RBN,26393.00 RBN,26393.00 RBN
0x30bF85E1d0bC7FDEDcbEeFf39225D8037cb0cb7c,4174 RBN,45208800,0.72,1496.22 RBN,1182.00 RBN,1182.00 RBN
0x90B3654e6EeB6b062De39008593C5f5a9843830b,1802 RBN,32508000,0.52,464.54 RBN,873.00 RBN,873.00 RBN
0xa2e4E81666Dd397fd899C0f8c84c1f2F1Ba054D0,15015 RBN,32508000,0.52,3869.51 RBN,7276.00 RBN,7276.00 RBN
0xcF3E2Ee2b0cD1194ba33cD1c7d9614DC635a1714,20000 RBN,7106400,0.11,1126.74 RBN,17747.00 RBN,17747.00 RBN
0xEd9B7DA0cB47124F1A49F7F022ADb84EC738D46E,22552 RBN,2872800,0.05,513.60 RBN,21524.00 RBN,21524.00 RBN
0x75bBC7d37D3bf975b527CF2e99b947D61A22EF95,3855 RBN,16783200,0.27,512.94 RBN,2829.00 RBN,2829.00 RBN
0x50A708E5dfE836601931Af3ff6169e5F4e5536ea,7740 RBN,34322400,0.54,2106.24 RBN,3528.00 RBN,3528.00 RBN
0x6cC76d20646aF5e6944BC6bfE60d21EA3Fee63a5,9115 RBN,33112800,0.53,2392.71 RBN,4329.00 RBN,4329.00 RBN
0x23d7C2fb9F163441874d72399B28d677f47020b0,23776 RBN,33112800,0.53,6241.21 RBN,11293.00 RBN,11293.00 RBN
0xF4FcF85857Afaceb3C324AfBCcaD1130cCE09611,23636 RBN,1663200,0.03,311.64 RBN,23013.00 RBN,23013.00 RBN
0x4559D6B52b6A736684345B42d5E3ee8405991466,41694 RBN,1663200,0.03,549.74 RBN,40594.00 RBN,40594.00 RBN
0xF5EaF9a0086067933b056946cb768d3D78033D8F,749 RBN,1663200,0.03,9.89 RBN,729.00 RBN,729.00 RBN
0x9224bbB4E0fBE2f2f8fab55DEbC41Eb21fDfB804,43851 RBN,25250400,0.40,8777.77 RBN,26295.00 RBN,26295.00 RBN
0xEf49733d2FEBB48e9d25C1427716Ff0e21460145,5630 RBN,33112800,0.53,1477.97 RBN,2674.00 RBN,2674.00 RBN
0xd54A547961b4f1Ab6a61639713787402694C9212,337 RBN,1663200,0.03,4.45 RBN,328.00 RBN,328.00 RBN
0xAdc8f4bD423e12CE815762F3d76ec574A22fda0D,1216 RBN,1663200,0.03,16.04 RBN,1184.00 RBN,1184.00 RBN
0xD862f8687fd6D2CA1A327d1c2cb118C29f25D9a5,30000 RBN,33112800,0.53,7875.00 RBN,14250.00 RBN,14250.00 RBN
0xbebCeC6Da4A4e9E8cabA45d532A16765Ad6F489e,273825 RBN,32508000,0.52,70566.28 RBN,132692.00 RBN,132692.00 RBN
0x2fA11eF008c4b585CCf0A76861794aC7AE5A3a67,12188 RBN,33112800,0.53,3199.45 RBN,5789.00 RBN,5789.00 RBN
0x6c94dA9240be892B0FbB56a3bae4adcE618dE4f9,11966 RBN,30088800,0.48,2854.34 RBN,6257.00 RBN,6257.00 RBN
0x9D916Eb8DDA4Ab54573f2fD20bbe19e534a9Ce4A,5760 RBN,33112800,0.53,1512.08 RBN,2736.00 RBN,2736.00 RBN
0xa2D79E07e13035f33B440c33154F0A7EDf0eb9eF,24948 RBN,38556000,0.61,7625.50 RBN,9697.00 RBN,9697.00 RBN
0xcAb62E7D3994B0DD38A9724e695f824674Dda130,1607 RBN,33112800,0.53,421.87 RBN,763.00 RBN,763.00 RBN
0xCA7A055c438cb30f748FB571418b4653eD50ed5f,99999 RBN,33112800,0.53,26250.00 RBN,47500.00 RBN,47500.00 RBN
0xEa36104866e8a73Ea44C8969a8a750B86267dcCf,648 RBN,1663200,0.03,8.55 RBN,631.00 RBN,631.00 RBN
0xCA1A7ECd9E0Cf8330f71FBf5FAcF78890644F058,12006 RBN,33112800,0.53,3151.58 RBN,5702.00 RBN,5702.00 RBN
0xB9eB24A2e77a18F54Ff9b7fc941ee9085A130d9D,49912 RBN,33112800,0.53,13101.94 RBN,23708.00 RBN,23708.00 RBN
0xF126584fb561e05072C6d0f184D9e24846A40f37,14923 RBN,48837600,0.75,5596.32 RBN,3730.00 RBN,3730.00 RBN
0x69BF23e3f263F369d8a4959eB8E970b8D6551F46,538 RBN,33112800,0.53,141.28 RBN,255.00 RBN,255.00 RBN
0x17DabEf7806c6E79F04465b03E2a24653cFfF07F,2000 RBN,1663200,0.03,26.37 RBN,1947.00 RBN,1947.00 RBN
0xA8325BC2e346B467ee3DA571e4ed68F4dC1CD7Ea,2000 RBN,1663200,0.03,26.37 RBN,1947.00 RBN,1947.00 RBN
0x20a05ae8efE1EB91BE0CD07356BC20EdA9C2E298,5772 RBN,33112800,0.53,1515.15 RBN,2741.00 RBN,2741.00 RBN
0x73407e93Be1d8a2c9213D908a54023e1BccEbC9b,2000 RBN,1663200,0.03,26.37 RBN,1947.00 RBN,1947.00 RBN
0x4b6d84A589aAa606371224Ad38dB9aEDD361368C,63 RBN,1663200,0.03,0.84 RBN,61.00 RBN,61.00 RBN
0x3cA31c9cfEf27fD3d5Ae59cAaDcc33B9aaF09C22,37832 RBN,33112800,0.53,9931.14 RBN,17970.00 RBN,17970.00 RBN
0x0c8bFC46C4fB39b6eEd7814E8830fAc0a45F8D6D,56936 RBN,37951200,0.60,17129.79 RBN,22677.00 RBN,22677.00 RBN
0xd76bE5Cd9aAC57eEB1AD1ed6B44fb3772bFc5186,7217 RBN,33112800,0.53,1894.69 RBN,3428.00 RBN,3428.00 RBN
0x70350Bc2245c256732C4F0a92FF9A8C65B6FCe5B,10000 RBN,33112800,0.53,2625.00 RBN,4749.00 RBN,4749.00 RBN
0x03BB5EFE308D31c1fE6eB15927471D76Bf451573,3216 RBN,33112800,0.53,844.23 RBN,1527.00 RBN,1527.00 RBN
0x97E4eB7f19Bc672805707c851FF15D5423149947,4829 RBN,43394400,0.69,1661.37 RBN,1506.00 RBN,1506.00 RBN
0x569d327288D8354F16813aFB01bBa0E60c1301f9,2112 RBN,33717600,0.53,564.75 RBN,983.00 RBN,983.00 RBN
0xe9595317Dc5fE9FEa60BAD0cDb3240A82Ae8662D,109 RBN,33717600,0.53,29.28 RBN,50.00 RBN,50.00 RBN
0x05327ca0590E721d5af0549EC40415d05155a2a4,2157 RBN,1663200,0.03,28.44 RBN,2100.00 RBN,2100.00 RBN
0x9bDd638DB67a520274E8744C2705c912B4a1Aac3,633 RBN,33717600,0.53,169.20 RBN,294.00 RBN,294.00 RBN
0x22f5413C075Ccd56D575A54763831C4c27A37Bdb,1910 RBN,33717600,0.53,510.74 RBN,889.00 RBN,889.00 RBN
0x79293291CD70Edf2663190783E0a69Dacf42CF92,41631 RBN,33717600,0.53,11127.93 RBN,19375.00 RBN,19375.00 RBN
0xAc5F6Ad16b9BA91D652fAec3093e49BE689fE7A5,100 RBN,33717600,0.53,26.73 RBN,46.00 RBN,46.00 RBN
0xD6a0DE95BD5E094a280b1681aB40e3e26AE78e22,26 RBN,33717600,0.53,7.08 RBN,12.00 RBN,12.00 RBN
0x66f26fE3fb9728B1B262f7716e75912c3159E951,417 RBN,33717600,0.53,111.71 RBN,194.00 RBN,194.00 RBN
0x15BDd87fE60E212C150d18D205766bDA86350152,18078 RBN,33717600,0.53,4832.21 RBN,8413.00 RBN,8413.00 RBN
0x1Eee23160Db790ee48Fd39871A64b13e76Fc2C3C,464827 RBN,26460000,0.42,97502.40 RBN,269822.00 RBN,269822.00 RBN
0x2891B78092310Ce8219Fe8298bb0FE7afa69F43F,3065 RBN,33717600,0.53,819.51 RBN,1426.00 RBN,1426.00 RBN
0x2654c613bCaB7e75ba4FB27c879A2FCCC23eC108,2894 RBN,2268000,0.04,52.03 RBN,2789.00 RBN,2789.00 RBN
0x42773F980C3a4AA9CdCAd465AA2988Fe38f0fB81,4000 RBN,33717600,0.53,1069.18 RBN,1861.00 RBN,1861.00 RBN
0xf006cB090CC69BcA84d194E072794d4815E69b3C,611 RBN,2268000,0.04,11.00 RBN,589.00 RBN,589.00 RBN
0x416cFADABa6EAD3f759Fc50574aB0cd342832Fb5,1853 RBN,33717600,0.53,495.41 RBN,862.00 RBN,862.00 RBN
0xCB16F82E5949975f9Cf229C91c3A6D43e3B32a9E,10449 RBN,2268000,0.04,187.88 RBN,10074.00 RBN,10074.00 RBN
0xE2246c9a133c0a39c78B010Df6C00a2CB6337F08,5000 RBN,2268000,0.04,89.90 RBN,4820.00 RBN,4820.00 RBN
0x000006eee6e39015cB523AeBDD4d0B1855aBa682,7780 RBN,2268000,0.04,139.88 RBN,7500.00 RBN,7500.00 RBN
0x256f9C6598BdAE0068E60B59033C81254F66d84A,1517 RBN,33717600,0.53,405.52 RBN,706.00 RBN,706.00 RBN
0xD7c01bb37064fB40812e2Df1204F0aD27f805067,5790 RBN,5292000,0.08,242.92 RBN,5304.00 RBN,5304.00 RBN
0x7c218fC943e54B82ED027cec922d364859bf1Ead,4000 RBN,33717600,0.53,1069.18 RBN,1861.00 RBN,1861.00 RBN
0xcDB6B70a684C7bcE56d8a82A0219AE9205d9bE2C,73 RBN,33717600,0.53,19.72 RBN,34.00 RBN,34.00 RBN
0x8B3095B960ee4c95954cA6E84C464B79CADFf655,6800 RBN,33717600,0.53,1817.69 RBN,3164.00 RBN,3164.00 RBN
0x20F9E5a17b00350F1EAF9Ad18Bc5be0D54c0bc3F,1000 RBN,33717600,0.53,267.29 RBN,465.00 RBN,465.00 RBN
0xf69EA6646cf682262E84cd7c67133eac59cef07b,24482 RBN,33717600,0.53,6543.96 RBN,11394.00 RBN,11394.00 RBN
0x5ce1B4779557996B1d2f3e1042C1789b7B7A9102,4769 RBN,28274400,0.45,1069.01 RBN,2631.00 RBN,2631.00 RBN
0xA7D44B434213BEcFC355048784D4C77D6447c979,23119 RBN,40975200,0.65,7509.84 RBN,8099.00 RBN,8099.00 RBN
0xF0677Caf030B2e7591c447eB2d332FD2Bc30e61A,11666 RBN,2268000,0.04,209.76 RBN,11247.00 RBN,11247.00 RBN
0xE7e21D548E8938209Aa710ebD468dc02A9573fB3,9000 RBN,2268000,0.04,161.82 RBN,8676.00 RBN,8676.00 RBN
0xc751Fb28553C9D482Af92F57AaaF72D79Cec70Dc,1416 RBN,2268000,0.04,25.46 RBN,1365.00 RBN,1365.00 RBN
0xbA9d854c4B9AE5eEF3dad86e1b65d661938b27A1,6564 RBN,34322400,0.54,1786.03 RBN,2992.00 RBN,2992.00 RBN
0xbe81C9958EBB744f9E5fB9c08cDBC794160e62e7,10579 RBN,34322400,0.54,2878.46 RBN,4822.00 RBN,4822.00 RBN
0x8F63277257A7Eead6De9Cf22f809Be1dE12A5e12,260 RBN,2268000,0.04,4.69 RBN,251.00 RBN,251.00 RBN
0x2A24b8e199143c3A721a906Fb1c38030da17f6d7,4322 RBN,2872800,0.05,98.44 RBN,4125.00 RBN,4125.00 RBN
0xf91d8Ef97D5c7c08d7453D1852168fc36aa95dA4,20287 RBN,23436000,0.37,3769.18 RBN,12749.00 RBN,12749.00 RBN
0xa9782643B047DE459d37a4951a1cd7cA46AA1932,100 RBN,34322400,0.54,27.21 RBN,45.00 RBN,45.00 RBN
0x7b523A0C714988e5C4ACaA71198ef0b52E0FB6b0,2992 RBN,51861600,0.75,1122.30 RBN,748.00 RBN,748.00 RBN
0x06a6Aa05760613Ae19c73E66c545aB9d9Bb3f447,359 RBN,2872800,0.05,8.19 RBN,343.00 RBN,343.00 RBN
0xD0e72c1B2eb87e3DC0445b7f689CaDcFc872b293,3284 RBN,36136800,0.57,940.81 RBN,1402.00 RBN,1402.00 RBN
0xcf0b387A6b2b15e60E0F48e87dfe7A64B801AF26,357 RBN,34322400,0.54,97.40 RBN,163.00 RBN,163.00 RBN
0xE6ad0f991Ddc8630Cc03c972Fd5eA62DB8828525,23974 RBN,34322400,0.54,6523.12 RBN,10927.00 RBN,10927.00 RBN
0x064Cff3535Af3F7221AC5dd4e8279c8ebAdbe3fF,20673 RBN,34322400,0.54,5625.17 RBN,9423.00 RBN,9423.00 RBN
0x584BaA4b71b0A3fA522658128f36a6A4AbeAC2ae,21938 RBN,56700000,0.75,8227.01 RBN,5484.00 RBN,5484.00 RBN
0x08E1a6b795829dbeb5CC730F40c2CCAa3EAde6F4,4615 RBN,52466400,0.75,1730.75 RBN,1153.00 RBN,1153.00 RBN
0x5CCe088A306f6a7cf104349A80F37af217e193D3,69 RBN,2872800,0.05,1.57 RBN,65.00 RBN,65.00 RBN
0xf1Ecc163903FB69Cce46D408E171C89EB7Ca1899,34602 RBN,34322400,0.54,9414.88 RBN,15772.00 RBN,15772.00 RBN
0x0B1E9BE93579fF431F6CE58CFBC4Bfd3A98d870c,9000 RBN,34322400,0.54,2448.80 RBN,4102.00 RBN,4102.00 RBN
0x51340ff0165f7e848479Fdf3f837E15761d3bB6D,30 RBN,34322400,0.54,8.21 RBN,13.00 RBN,13.00 RBN
0xB9f3CbB487dFB6C2341e8670738f6403249b68E4,473 RBN,34322400,0.54,128.90 RBN,215.00 RBN,215.00 RBN
0x8397b306F3EE34b8c182507d7B66d898aE329474,19746 RBN,2872800,0.05,449.70 RBN,18846.00 RBN,18846.00 RBN
0x88DfA90d08049E2c0C7C43c846Aa979C0aF048Ee,1750 RBN,34322400,0.54,476.16 RBN,797.00 RBN,797.00 RBN
0x741AA7CFB2c7bF2A1E7D4dA2e3Df6a56cA4131F3,4890 RBN,34322400,0.54,1330.77 RBN,2229.00 RBN,2229.00 RBN
0x2271e475a46AdC24e47cEDaD45aFD9Aa581eB86D,10000 RBN,2872800,0.05,227.74 RBN,9544.00 RBN,9544.00 RBN
0xe8118D24E5334F0b7eF0af2EFfA8Bbb0c3fc28e9,1228 RBN,34322400,0.54,334.18 RBN,559.00 RBN,559.00 RBN
0xE5DCBBD07e814c7751aD5C10ff540fb8fB79A543,303 RBN,2872800,0.05,6.90 RBN,289.00 RBN,289.00 RBN
0x858128d2F83dBb226b6cF29bffe5E7e129c3a128,5045 RBN,2872800,0.05,114.92 RBN,4816.00 RBN,4816.00 RBN
0x1Ec289BD5F002B7969887b8E18a1625052a67D0d,1348 RBN,3477600,0.06,37.19 RBN,1274.00 RBN,1274.00 RBN
0x3d44B39B94Ba1069AB4A46224FE08ca34913d06e,10295 RBN,19807200,0.31,1616.57 RBN,7062.00 RBN,7062.00 RBN
0xEE0e9252FA434bF28B295124636172871407aF5a,195 RBN,3477600,0.06,5.38 RBN,184.00 RBN,184.00 RBN
0x28057f888602dAaA089B33f6491d26370A297CF5,876 RBN,3477600,0.06,24.17 RBN,828.00 RBN,828.00 RBN
0x10f24FBC2a4ADDF445adf143Beb5E4236319f50B,4500 RBN,36136800,0.57,1289.13 RBN,1921.00 RBN,1921.00 RBN
0x050A2Af16d500bCDB5CE7a21fBD95A5C831210aB,18446 RBN,34927200,0.55,5107.58 RBN,8231.00 RBN,8231.00 RBN
0xcD3b77a071eC90610B90d6A232E25deB5741859F,8832 RBN,34927200,0.55,2445.47 RBN,3941.00 RBN,3941.00 RBN
0xADeED59F446cb0a141837e8f7c22710d759Cba65,12867 RBN,34927200,0.55,3562.87 RBN,5742.00 RBN,5742.00 RBN
0x717c05bb13b3B50C0996ca3067c7bF93528353A4,4387 RBN,58514400,0.75,1645.47 RBN,1096.00 RBN,1096.00 RBN
0x6c4ADEa8f704410d4146368203856dc4c439ACDB,302 RBN,34927200,0.55,83.70 RBN,134.00 RBN,134.00 RBN
0x0a27F53e3D044465D07607EF7A048E71809F295E,99 RBN,3477600,0.06,2.75 RBN,94.00 RBN,94.00 RBN
0x611327A78065A38f151D19eD4876610e5B3FA90f,219 RBN,34927200,0.55,60.69 RBN,97.00 RBN,97.00 RBN
0x09ECf3F9423d2C60869EeCE947eC8199f788d1F8,1534 RBN,58514400,0.75,575.55 RBN,383.00 RBN,383.00 RBN
0x8cDf1b6cfB693dB9E171A1b9DdA88C257e68638c,50008 RBN,34927200,0.55,13846.64 RBN,22315.00 RBN,22315.00 RBN
0x14df40586e0F2Ca5CA222DB0dAc8Df2f4C5b1AAb,1115 RBN,34927200,0.55,308.82 RBN,497.00 RBN,497.00 RBN
0xF7599b9237680eA12Df90CdCCC79f37956a68086,18337 RBN,50652000,0.75,6876.59 RBN,4584.00 RBN,4584.00 RBN
0x66AB525022C5291C0c3D7a7199a38B827586F30c,152586 RBN,2872800,0.05,3475.00 RBN,145636.00 RBN,145636.00 RBN
0xF7AB71f8A1e4DAB1237Ed1218Bf12c19CC51A953,11114 RBN,53676000,0.75,4168.12 RBN,2778.00 RBN,2778.00 RBN
0x3165dC7D1571CaA03F83f321Deb924E7F2c931a5,809 RBN,3477600,0.06,22.33 RBN,765.00 RBN,765.00 RBN
0x2Cc99Afaf23aA95F03c4aA2989881aA1bf5f6ba9,64 RBN,3477600,0.06,1.78 RBN,60.00 RBN,60.00 RBN
0x6f9BB7e454f5B3eb2310343f0E99269dC2BB8A1d,108072 RBN,59724000,0.75,40527.14 RBN,27018.00 RBN,27018.00 RBN
0x25Bc4CC0B6Dc2A1E67E29eb9180175c7D187cB6c,62430 RBN,34927200,0.55,17285.98 RBN,27858.00 RBN,27858.00 RBN
0xFd94fB2F07A4a0Cb5c8B88c7A4346DdEd36f2b1D,265 RBN,34927200,0.55,73.53 RBN,118.00 RBN,118.00 RBN
0x84dcCfB3F3e044229fa00e216E2829725579D97f,15000 RBN,11340000,0.18,1348.46 RBN,12303.00 RBN,12303.00 RBN
0x3431Fe0FC002FbB7DBFa4fce251F22966503ce11,596 RBN,34927200,0.55,165.18 RBN,266.00 RBN,266.00 RBN
0x8CC7355a5c07207ef6ee188F7b74757b6bAb7DAc,1000 RBN,34927200,0.55,276.88 RBN,446.00 RBN,446.00 RBN
0x166eff7888be941645a31dbCa9910e95a7632509,75864 RBN,50652000,0.75,28449.27 RBN,18966.00 RBN,18966.00 RBN
0xe6C6523Cd68E73C55958BcA91616b109B1ED061b,1036 RBN,3477600,0.06,28.58 RBN,979.00 RBN,979.00 RBN
0xbeb0D8F05c5F923b80690657da949cEbd9A2BFBc,6717 RBN,11340000,0.18,603.90 RBN,5509.00 RBN,5509.00 RBN
0x0e43C2EBb8BbFBD724A2CCC0f8e0Ea336a00C401,1400 RBN,35532000,0.56,394.35 RBN,611.00 RBN,611.00 RBN
0x9e2634834A27189f17c257081F47010E655D4C36,36120 RBN,39160800,0.62,11213.39 RBN,13693.00 RBN,13693.00 RBN
0x586CFe79E3bEa3830C0A1874273ED563Ab23C64C,18413 RBN,2872800,0.05,419.35 RBN,17574.00 RBN,17574.00 RBN
0xF84b34fdb3b4540501f06DeE054FcD204f12Cd9e,15754 RBN,12549600,0.20,1567.35 RBN,12619.00 RBN,12619.00 RBN
0x54C1A32bCBe78B6FC65178cdD565f23b4d5Bb132,1797 RBN,4082400,0.06,58.18 RBN,1681.00 RBN,1681.00 RBN
0x374866a5e867036A0575F33048523066A7d195d0,1021 RBN,26460000,0.42,214.36 RBN,593.00 RBN,593.00 RBN
0xf4A845aa78dADD56E075D4E6664258EA308Ba5ab,10111 RBN,35532000,0.56,2848.09 RBN,4414.00 RBN,4414.00 RBN
0x00008818c0EDb78F98184F01B4cB483F0044D990,35049 RBN,61538400,0.75,13143.66 RBN,8762.00 RBN,8762.00 RBN
0x8218db50772c025FE8375CB89900DcfE3889a4f9,974 RBN,35532000,0.56,274.43 RBN,425.00 RBN,425.00 RBN
0xbDfA4f4492dD7b7Cf211209C4791AF8d52BF5c50,81642 RBN,35532000,0.56,22996.92 RBN,35648.00 RBN,35648.00 RBN
0x824A465F17e41205496e42810B27D8c367E225A7,4000 RBN,1058400,0.02,33.56 RBN,3932.00 RBN,3932.00 RBN
0xC290067ef915116E31cE171097d4697Da36c8C43,18597 RBN,35532000,0.56,5238.58 RBN,8120.00 RBN,8120.00 RBN
0x899e6d9F1746Be441B457175F8D339ad5462C943,1611 RBN,35532000,0.56,453.86 RBN,703.00 RBN,703.00 RBN
0xdF4a4221c6f875aa0Df196401253fdBf00933fEF,213 RBN,4082400,0.06,6.92 RBN,200.00 RBN,200.00 RBN
0x3DFE6524963a99D030cDa681450E4792b7847163,557 RBN,4082400,0.06,18.04 RBN,521.00 RBN,521.00 RBN
0xC79698ba9EA29D48fff7cfDfE1BBb9CBad7120e3,661 RBN,4082400,0.06,21.40 RBN,618.00 RBN,618.00 RBN
0x25fc3e5A398B682A1B25a3bfCC818E0242de2FfF,547 RBN,4082400,0.06,17.71 RBN,511.00 RBN,511.00 RBN
0xa362a6B387A80180286ef40d8e6eC6Ca2657A9fa,45104 RBN,62748000,0.75,16914.24 RBN,11276.00 RBN,11276.00 RBN
0x4D8b1933f8238E2486AD574a0329fd353C4486bC,18911 RBN,4082400,0.06,612.04 RBN,17687.00 RBN,17687.00 RBN
0xaD24Ff5b503be5b6DD3936F842A252b0843AB808,638 RBN,35532000,0.56,179.79 RBN,278.00 RBN,278.00 RBN
0xA4fA8199091a806e1E53fc42c8fD035E4F9bdB6a,13988 RBN,43394400,0.69,4812.12 RBN,4364.00 RBN,4364.00 RBN
0x31C4295E963c0c5b960C11F95412b08f8652Ee02,438 RBN,4082400,0.06,14.21 RBN,410.00 RBN,410.00 RBN
0x0E4a72e59127E878B51c4784f56eb299077Fd807,9253 RBN,4082400,0.06,299.46 RBN,8654.00 RBN,8654.00 RBN
0x799e7471c4114d466E9051f7c5f68B3F64759e3f,4825 RBN,37951200,0.60,1451.64 RBN,1921.00 RBN,1921.00 RBN
0x2298718F8C34aDb143BdCC017feAE24dE4a62653,20765 RBN,36136800,0.57,5948.68 RBN,8867.00 RBN,8867.00 RBN
0xdCDb7882172079c1a0f9e0BBe7734c4CFb4Ee91f,496 RBN,36136800,0.57,142.31 RBN,212.00 RBN,212.00 RBN
0x9aeD162f5E61e2e42a06D50657C7B5e085319227,304 RBN,36136800,0.57,87.30 RBN,130.00 RBN,130.00 RBN
0xCe9a64D8Fd62f515beFEA0DfB58376C03B111f73,738 RBN,36136800,0.57,211.44 RBN,315.00 RBN,315.00 RBN
0xdF2E0A3C668379e1B25901B3F719EBfD00F0BFBD,7203 RBN,36136800,0.57,2063.56 RBN,3076.00 RBN,3076.00 RBN
0xF16D8D189b9066fFe94ba9dF555c8DCc852B2dCB,4553 RBN,4687200,0.07,169.18 RBN,4214.00 RBN,4214.00 RBN
0x9a82aA6eDbC473a883B8906Bf41084c9c1B760F2,47817 RBN,36136800,0.57,13698.36 RBN,20420.00 RBN,20420.00 RBN
0x837F5a66635BBe255A24127A5099Ab370fFcc4c0,6635 RBN,20412000,0.32,1073.78 RBN,4488.00 RBN,4488.00 RBN
0x51A125F89CBE0bFBFD62FeE8a750AAeC8fabC441,7409 RBN,36136800,0.57,2122.52 RBN,3164.00 RBN,3164.00 RBN
0xf74736C0079773847E524Feab49b3BecbA8dF2ea,157 RBN,4687200,0.07,5.84 RBN,145.00 RBN,145.00 RBN
0xe7a6B9d6EC7CDEA7487D6D1d83e0fB254d7b9653,8310 RBN,30693600,0.49,2022.21 RBN,4266.00 RBN,4266.00 RBN
0x317DDDb30c46146e6f598Ceca82931978542dFd1,1381 RBN,36741600,0.58,402.45 RBN,576.00 RBN,576.00 RBN
0x9455B22685036d89874296460fB28De8A70A6a66,172164 RBN,36741600,0.58,50145.90 RBN,71872.00 RBN,71872.00 RBN
0x6Efd92a21517Badd12089CDcD5C04c71dC2C67e2,574 RBN,4687200,0.07,21.36 RBN,532.00 RBN,532.00 RBN
0x515491350701b46A54C666D18822FD7e3C44EBD8,3 RBN,36741600,0.58,0.87 RBN,1.00 RBN,1.00 RBN
0xf6C589402278e88E48BCD6243EF3Aa11A3Eff2d6,3 RBN,36741600,0.58,0.87 RBN,1.00 RBN,1.00 RBN
0xaD1f2688641D9fe17239D3625a8b6aB92AE78e89,3 RBN,36741600,0.58,0.87 RBN,1.00 RBN,1.00 RBN
